event_at,event_type,state,ssid,source,detail,valid
2026-09-07T12:52:16.117+08:00,transition,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T13:11:51.167+08:00,transition,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T14:02:33.912+08:00,heartbeat,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T15:18:19.792+08:00,heartbeat,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T16:06:59.993+08:00,heartbeat,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T16:39:39.947+08:00,transition,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T17:00:07.228+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T18:00:05.381+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T19:32:11.865+08:00,transition,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T20:02:14.735+08:00,heartbeat,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T21:10:31.931+08:00,heartbeat,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T21:51:23.299+08:00,transition,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T22:30:16.037+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-07T23:00:07.976+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-08T06:50:13.281+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-08T07:00:07.152+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-08T08:02:25.015+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-08T10:17:24.540+08:00,heartbeat,offline,,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-08T10:35:54.234+08:00,transition,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
2026-09-08T11:03:47.107+08:00,heartbeat,home_wifi,DaFengLi_5G,macrodroid_v2_5_device_csv,uploaded context_events_v2.csv; transition identity deduped,true
