capture_id,app_label,avg_power_w,avg_temp_c,max_temp_c,duration_seconds,duration_semantics,scene_mode,source_type,notes
2026-09-08-live-034921,LINE,3.29,34,37,971,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,鬧鐘時鐘,4.18,27,29,33,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,PayPal,2.53,33,33,51,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,三星瀏覽器,2.44,33,35,33,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-080316,Galaxy Buds2 Pro,1.26,29,29,57,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,地圖,2.73,33,37,1350,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,ChatGPT,2.34,32,37,1056,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,系統桌面,6.16,32,37,287,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,LINE,3.74,32,37,294,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,三星瀏覽器,2.09,34,37,440,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,foodpanda,3.15,32,34,290,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,Threads,2.07,30,32,156,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,酷安,3.38,34,35,93,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,MyCard,2.10,35,36,102,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,LINE Pay,2.77,35,36,68,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,台灣大哥大,2.25,36,37,78,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
2026-09-08-live-112501,Instagram,3.33,30,30,36,scene_valid_app_samples_3s,,scene_live_detail_screenshot,package name/mode not visible in screenshot; retain label-level evidence only until richer detail exists
